STU_ID,X1SEX,X1SCIEFF,X1MTHEFF,X1SES,P2REPEATGK,P2REPEATG1,P2REPEATG2,P2REPEATG3,P2REPEATG4,P2REPEATG5,P2REPEATG6,P2REPEATG7,P2REPEATG8,P2REPEATG9,P2REPEATG10,X1TXMTH,X2MEFFORT,X2SEFFORT,X3HSCOMPSTAT
10001,1,1.1,0.95,1.5644,0,0,0,0,0,0,0,0,0,0,0,0.8304,0.85,0.44,1
10002,2,0.69,0.55,-0.3699,0,0,0,0,0,0,0,0,0,0,0,-0.2956,0.54,0.48,1
10003,2,-0.05,0.68,1.2741,0,0,0,0,0,0,0,0,0,0,0,1.2997,0.54,-0.13,1
10004,2,0.25,0.1,0.5498,0,0,0,0,0,0,0,0,0,0,0,-0.1427,-8,-8,1
10005,1,0.25,0.1,0.1495,0,0,0,0,0,0,0,0,0,0,0,1.1405,-9,-7,1
10006,2,-7,1.23,1.0639,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.7106,-7,-9,1
10007,2,-1.74,0.1,-0.43,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.1208,-2.12,0.15,1
10008,1,0.25,-1.41,1.5144,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.3732,-7,-7,1
10009,1,0.25,-7,-0.3103,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.2348,-1.15,-7,1
10010,2,-0.91,1.62,0.0451,0,0,0,0,0,0,0,0,0,0,0,1.2569,0.87,-7,1
10011,1,-7,1.34,1.2058,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.5539,-9,-7,1
10012,2,1.83,0.51,2.4996,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1.631,-0.45,0.43,1
10013,1,1.1,1.62,2.5668,0,0,0,0,0,0,0,0,0,0,0,1.5328,0.87,0.79,1
10014,2,-7,-7,-0.8837,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-1.7601,-8,-8,3
10015,2,0.38,-7,0.9973,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.2554,-7,-7,1
10016,2,0.25,0.1,0.0686,0,0,0,0,0,0,0,0,0,0,0,1.2165,-9,0.48,1
10018,1,0.67,0.1,1.3989,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1.2745,-0.49,-7,1
10019,1,1.42,1.62,-0.0106,0,0,0,0,0,0,0,0,0,0,0,0.3026,0.21,-1.47,1
10020,1,-0.05,-0.97,-0.2746,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.2202,-0.44,0.48,1
10021,1,-0.05,0.49,0.4235,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.3274,0.87,-9,1
10022,1,-0.61,0.78,1.4372,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.6912,-0.14,0.47,1
10024,1,-0.05,-0.17,0.1402,0,0,0,0,0,0,0,0,0,0,0,0.5286,0.19,0.43,1
10025,1,-0.9,0.1,-0.1901,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1.2501,-7,-7,3
10026,2,-0.89,0.16,1.1142,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1.5551,1.18,1.1,1
10027,2,-7,-7,0.0887,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-0.3108,-0.78,-0.49,1
10028,1,-8,-8,-8,0,0,0,0,0,0,0,0,0,0,0,-8,0.15,-7,1
10029,1,-1.02,-1.41,-0.8297,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-1.5235,-8,-8,1
10030,2,-0.05,-0.17,1.5809,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1.9315,-0.14,1.1,1
10031,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-1.78,-7,5
10033,2,-7,-7,-0.6008,0,0,0,0,0,0,0,0,0,1,1,-2.1011,-8,-8,5
10034,2,-2.05,-1.68,-0.0409,0,0,0,0,0,0,0,0,0,1,1,-0.6157,-7,-7,3
10035,1,-8,-8,-8,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-8,-0.16,-7,5
10036,2,-7,0.27,0.1493,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.5674,0.54,0.8,1
10037,2,-7,0.1,0.5238,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1.1592,-7,0.79,1
10038,1,-0.9,-0.3,1.0472,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1.6506,-7,-7,1
10039,2,-0.59,1.62,0.6753,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1.4296,0.19,-0.5,1
10040,1,-7,0.1,-0.082,0,0,0,0,0,0,0,0,0,0,0,-1.9877,-8,-8,1
10041,2,-7,-7,-0.7046,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1.6566,-7,-7,1
10042,1,0.67,-2.92,-0.0821,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.3717,-8,-8,5
10043,2,0.25,-0.56,-0.3642,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.3672,-7,-7,1
10044,1,-0.59,1.62,1.3291,0,0,0,0,0,0,0,0,0,0,0,1.5791,0.19,0.15,1
10045,2,-0.17,-0.61,-0.2739,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.5388,-7,-7,2
10046,2,-0.48,0.1,-0.1707,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-0.3139,-1.13,-1.14,1
10047,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0.52,-1.18,5
10048,2,-0.05,0.27,-0.2888,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.2276,-0.79,-0.83,1
10049,2,1.83,1.62,0.3972,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1.1372,0.87,0.18,1
10050,2,-0.16,1.62,-1.1012,0,0,0,0,0,0,0,0,0,0,0,-1.8328,1.18,0.44,1
10052,2,-0.77,-9,-0.5433,0,0,0,0,0,0,0,0,0,0,0,-1.178,-0.13,-7,1
10053,1,-0.05,-0.17,0.9842,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.3907,-8,-8,1
10054,2,-0.05,-0.58,-0.2606,0,0,0,0,0,0,0,0,0,0,0,-0.1875,-0.14,0.13,1
10055,1,0.25,1.62,1.4132,0,0,0,0,0,0,0,0,0,0,0,1.7811,0.48,1.1,1
10056,2,0.25,0.1,-0.7901,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.5843,0.54,-0.51,1
10057,2,-8,-8,-8,0,0,0,0,0,0,0,0,0,0,0,-8,-3.13,-3.44,1
10058,2,-0.91,-0.29,0.5511,0,0,0,0,0,0,0,0,0,0,0,0.4053,-1.07,0.8,1
10059,1,-8,-8,-8,1,0,0,0,0,0,0,0,0,0,0,-8,-7,1.1,1
10060,1,1.83,1.34,-0.0058,0,0,0,0,0,0,0,0,0,0,0,0.4189,-1.19,0.79,1
10061,1,0.25,0.1,1.165,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1.3177,-8,-8,1
10062,1,0.25,0.1,-0.7022,0,0,0,0,0,0,0,0,0,0,0,-0.2129,0.23,1.1,1
10063,1,0.69,-1.41,-0.6763,0,0,0,0,0,0,0,0,0,0,0,-0.0844,0.21,1.1,1
10064,2,0.25,0.94,-0.1112,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.0382,-7,0.15,1
10065,2,-0.89,-1.14,-0.5381,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.4723,-0.82,-9,1
10066,1,-0.59,-1.02,-0.3694,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.6828,-1.46,-7,1
10067,1,0.25,0.1,-1.7526,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1.4436,-0.14,-0.17,1
10068,2,-0.05,0.95,-0.0872,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-0.0439,0.54,-7,1
10069,1,0.56,-1.02,1.6587,0,0,0,0,0,0,0,0,0,0,0,0.3935,0.85,0.44,1
10070,1,1.1,-9,2.0218,1,0,0,0,0,0,0,0,0,0,0,1.0047,0.15,0.77,1
10071,2,-1.33,-1.41,-0.2749,0,0,0,0,0,0,0,0,0,0,0,-0.2162,-1.46,-0.81,1
10072,2,-0.48,-0.17,-0.0998,1,0,0,0,0,0,0,0,0,0,0,-0.72,0.85,0.44,1
10074,2,-1.33,-0.75,-0.2813,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.1367,-9,-7,5
10075,2,-7,-0.17,-0.231,0,0,0,0,0,0,0,1,0,0,0,-0.1134,-1.09,0.14,1
10076,1,-8,-8,-8,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-8,-7,-7,5
10077,2,-7,0.55,-0.5803,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.3129,-9,-1.11,1
10078,1,1.1,1.34,2.1586,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2.1942,-0.12,0.79,1
10079,2,0.25,-0.17,0.0865,0,0,0,0,0,0,0,0,0,0,0,1.0292,-3.45,-7,1
10080,2,-2.07,-0.58,0.2028,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1.1682,-9,-9,1
10081,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0.85,1.1,1
10082,1,-8,-8,-8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-8,-4.1,-7,5
10084,1,-0.05,0.1,0.0884,0,0,0,0,0,0,0,0,0,0,0,1.5706,0.19,-7,1
10085,1,0.25,-0.58,-0.2902,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.5318,0.85,-9,1
10086,2,-0.05,-0.17,-0.0996,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1.2297,0.87,0.44,1
10087,1,-0.05,1.34,-0.9782,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.4876,0.54,-7,1
10088,2,-7,0.55,0.3647,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.0978,0.85,1.1,1
10089,1,0.25,-7,0.984,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1.0799,-7,-7,1
10090,2,1.42,0.22,-0.0322,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.0585,0.54,-7,1
10091,1,-0.89,0.1,-0.7627,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0.047,0.19,-0.51,1
10092,1,-7,-7,-0.6288,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2.199,-7,-7,3
10093,1,-7,0.1,-0.1513,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.1184,-9,-7,1
10094,1,-0.48,-0.56,1.7567,0,0,0,0,0,0,0,0,0,0,0,1.2081,-8,-8,1
10095,2,-7,0.94,0.122,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1.6374,-7,0.5,1
10096,2,0.25,0.1,-0.3442,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.3454,1.18,-7,1
10097,2,1.1,1.34,0.9349,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.2807,-0.47,0.13,1
10099,2,1.83,0.1,1.4352,0,0,0,0,0,0,0,0,0,0,0,0.1812,0.19,-0.19,1
10100,2,-1.2,-2.48,-0.1266,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.8057,-1.52,-0.8,1
10101,2,-7,0.1,-0.1066,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1.8453,-8,-8,5
10102,1,0.28,0.55,0.9312,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.4172,-9,-9,1
10103,1,-8,-8,-8,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-8,0.17,-0.86,1
10104,1,0.25,0.1,0.034,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.8429,-8,-8,5
10105,2,0.25,0.55,1.0498,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1.1893,1.18,1.1,1
10106,1,0.25,0.1,-0.4907,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.6544,0.17,0.46,1
10107,2,0.25,0.1,1.2984,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.454,0.52,0.44,1
10108,2,-0.91,-0.56,-0.4024,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1.2788,0.19,0.11,1
10109,2,0.25,-0.61,0.0876,0,0,0,0,0,0,0,0,0,0,0,-1.2179,0.52,0.76,1
10110,2,-0.89,1.62,0.5598,0,0,0,0,0,0,0,0,0,0,0,1.0541,1.18,1.1,1
10111,1,-7,-1.14,-0.6659,0,0,1,0,0,0,0,0,0,0,0,-1.9442,-7,-9,3
10112,1,1.41,1.21,1.4591,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2.5699,-9,0.79,1
