STU_ID,BYSTLANG,BYENGLSE,BYHOMLNG,BYSTLNG2,BYSES1,BYSES2,BYP50A,BYP50B,BYP50C,BYP50D,BYP50E,BYP50F,BYP50G,BYP50H,F2HSSTAT
101101,1,-0.633,1,4,-0.25,-0.23,-3,-3,-3,-3,-3,-3,-3,-3,1
101102,0,0.331,4,2,0.58,0.69,-3,-3,-3,-3,-3,-3,-3,-3,1
101104,1,-0.933,1,4,-0.85,-0.68,-3,-3,-3,-3,-3,-3,-3,-3,1
101105,1,1.146,1,4,-0.8,-0.89,-4,-4,-4,-4,-4,-4,-4,-4,1
101106,0,0.143,2,2,-1.41,-1.28,-3,-3,-3,-3,-3,-3,-3,-3,1
101107,0,0.52,2,2,-1.07,-0.93,-3,-3,-3,-3,-3,-3,-3,-3,1
101108,1,-0.852,1,4,0.27,0.36,-7,-7,-7,-7,-7,-7,-7,-7,1
101109,1,0.331,1,4,-0.16,-0.24,-3,-3,-3,-3,-3,-3,-3,-3,1
101110,1,0.331,1,4,-1,-0.85,-3,-3,-3,-3,-3,-3,-3,-3,1
101111,1,0.893,1,4,-1.22,-1.07,-7,-7,-7,-7,-7,-7,-7,-7,1
101112,1,-0.118,1,4,-0.18,-0.1,-3,-3,-3,-3,-3,-3,-3,-3,1
101113,0,-1.748,2,2,-0.03,0.16,-3,-3,-3,-3,-3,-3,-3,-3,1
101114,1,0.958,1,4,-0.8,-0.74,-3,-3,-3,-3,-3,-3,-3,-3,1
101115,1,-0.672,1,4,-0.16,-0.58,-3,-3,-3,-3,-3,-3,-3,-3,1
101116,1,-0.364,1,4,0.99,0.88,-4,-4,-4,-4,-4,-4,-4,-4,1
101117,1,0.331,1,4,0.22,0.24,1,0,0,0,0,0,0,0,1
101118,1,-1.383,1,4,0.06,0.08,1,0,0,0,0,0,0,0,1
101119,0,0.704,2,2,-1.35,-1.36,-4,-4,-4,-4,-4,-4,-4,-4,10
101120,1,0.228,1,4,-0.57,-0.73,-3,-3,-3,-3,-3,-3,-3,-3,9
101121,0,0.039,4,2,1.18,1.29,-3,-3,-3,-3,-3,-3,-3,-3,1
101122,0,-0.933,2,2,-0.63,-0.49,-3,-3,-3,-3,-3,-3,-3,-3,1
101123,0,0.143,2,1,-0.69,-0.84,-3,-3,-3,-3,-3,-3,-3,-3,1
101124,1,-0.183,1,4,-0.69,-0.6,-3,-3,-3,-3,-3,-3,-3,-3,1
101125,0,-9,2,2,-1.22,-1.11,-3,-3,-3,-3,-3,-3,-3,-3,1
101126,0,-9,5,1,-0.64,-0.67,-3,-3,-3,-3,-3,-3,-3,-3,1
101127,0,0.412,5,2,-0.12,-0.05,-3,-3,-3,-3,-3,-3,-3,-3,1
101128,0,-0.126,5,0,-1,-0.89,-3,-3,-3,-3,-3,-3,-3,-3,1
101129,1,0.331,1,4,0.26,-0.15,-3,-3,-3,-3,-3,-3,-3,-3,1
101131,1,0.331,1,4,0.48,0.67,-3,-3,-3,-3,-3,-3,-3,-3,1
101132,1,-0.933,1,4,-0.16,-0.24,-3,-3,-3,-3,-3,-3,-3,-3,1
101133,1,-0.933,1,4,-1.16,-1.29,-3,-3,-3,-3,-3,-3,-3,-3,1
101201,0,-9,6,2,-0.24,-0.4,-3,-3,-3,-3,-3,-3,-3,-3,1
101203,1,-9,1,4,0.05,0.17,-3,-3,-3,-3,-3,-3,-3,-3,1
101207,1,-9,1,4,-0.34,-0.47,-3,-3,-3,-3,-3,-3,-3,-3,1
101209,1,-9,1,4,-0.77,-0.69,-3,-3,-3,-3,-3,-3,-3,-3,1
101210,1,-9,1,4,0.37,0.57,-3,-3,-3,-3,-3,-3,-3,-3,1
101211,1,-9,1,4,0.19,0.1,-3,-3,-3,-3,-3,-3,-3,-3,1
101212,1,-9,1,4,0.09,-0.07,-3,-3,-3,-3,-3,-3,-3,-3,1
101214,1,-9,1,4,-0.48,-0.52,-3,-3,-3,-3,-3,-3,-3,-3,1
101215,1,-9,1,4,-0.43,-0.36,-3,-3,-3,-3,-3,-3,-3,-3,1
101217,1,0.331,1,4,-0.64,-0.66,-3,-3,-3,-3,-3,-3,-3,-3,1
101219,1,-9,1,4,0.05,0.25,-3,-3,-3,-3,-3,-3,-3,-3,1
101221,1,-9,1,4,-0.93,-0.84,-3,-3,-3,-3,-3,-3,-3,-3,1
101222,-4,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
101223,1,-9,1,4,-0.44,-0.36,-3,-3,-3,-3,-3,-3,-3,-3,1
101226,1,0.331,1,4,1.13,1.31,1,0,0,0,0,0,0,0,1
101227,1,-9,1,4,-0.58,-0.37,-3,-3,-3,-3,-3,-3,-3,-3,6
102101,1,0.585,1,4,-0.57,-0.82,-4,-4,-4,-4,-4,-4,-4,-4,1
102103,1,-0.176,1,4,-0.12,0.03,-3,-3,-3,-3,-3,-3,-3,-3,3
102104,1,-9,1,4,0.21,0.12,-3,-3,-3,-3,-3,-3,-3,-3,3
102105,1,-9,1,4,-1.04,-1.17,-3,-3,-3,-3,-3,-3,-3,-3,1
102106,0,0.37,2,2,-0.24,0,-3,-3,-3,-3,-3,-3,-3,-3,1
102107,1,-9,1,4,-1.52,-1.37,-3,-3,-3,-3,-3,-3,-3,-3,9
102108,1,-0.933,1,4,-0.94,-0.95,1,0,0,0,0,1,1,1,3
102109,1,0.781,1,4,-0.64,-0.53,-3,-3,-3,-3,-3,-3,-3,-3,2
102111,1,-9,1,4,-1.45,-1.28,-3,-3,-3,-3,-3,-3,-3,-3,1
102112,1,-9,1,4,0.63,0.38,-3,-3,-3,-3,-3,-3,-3,-3,1
102113,1,0.039,1,4,-0.34,-0.2,-3,-3,-3,-3,-3,-3,-3,-3,1
102116,0,0.331,2,2,-0.82,-0.77,-4,-4,-4,-4,-4,-4,-4,-4,6
102117,1,1.065,1,4,-0.3,-0.19,-3,-3,-3,-3,-3,-3,-3,-3,1
102118,0,0.696,2,2,-0.3,-0.45,-3,-3,-3,-3,-3,-3,-3,-3,1
102120,1,-0.933,1,4,0.55,0.59,-3,-3,-3,-3,-3,-3,-3,-3,3
102121,1,1.596,1,4,-0.02,0.02,-3,-3,-3,-3,-3,-3,-3,-3,1
102122,1,-0.933,1,4,0.01,0.08,-3,-3,-3,-3,-3,-3,-3,-3,1
102162,-8,-8,-8,4,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,10
102163,-8,-8,-8,4,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1
102164,-8,-8,-8,4,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1
102201,1,0.078,1,4,-1.14,-1.03,-3,-3,-3,-3,-3,-3,-3,-3,1
102202,1,-9,1,4,0.51,0.25,-7,-7,-7,-7,-7,-7,-7,-7,1
102203,1,-0.933,1,4,-0.65,-0.54,-3,-3,-3,-3,-3,-3,-3,-3,1
102204,0,0.151,4,2,0.53,0.12,-3,-3,-3,-3,-3,-3,-3,-3,1
102205,1,-9,1,4,0.09,0.24,-7,-7,-7,-7,-7,-7,-7,-7,1
102206,1,-9,1,4,-0.76,-0.63,-3,-3,-3,-3,-3,-3,-3,-3,1
102207,0,-1.014,2,2,-1.2,-1.13,-3,-3,-3,-3,-3,-3,-3,-3,2
102208,0,1.596,5,2,0.61,0.37,-3,-3,-3,-3,-3,-3,-3,-3,1
102209,1,-0.111,1,4,0.09,0.24,-7,-7,-7,-7,-7,-7,-7,-7,1
102210,0,-9,-9,3,-0.99,-0.92,-3,-3,-3,-3,-3,-3,-3,-3,6
102211,1,-9,1,4,0.6,0.51,-7,-7,-7,-7,-7,-7,-7,-7,1
102212,1,-0.933,1,4,0.79,0.75,-3,-3,-3,-3,-3,-3,-3,-3,1
102213,1,-9,1,4,0.44,0.51,-4,-4,-4,-4,-4,-4,-4,-4,1
102214,0,1.154,2,2,-0.92,-0.83,-3,-3,-3,-3,-3,-3,-3,-3,1
102215,1,1.596,1,4,0.92,0.61,-3,-3,-3,-3,-3,-3,-3,-3,1
102216,0,0.585,5,2,0.23,0.27,-4,-4,-4,-4,-4,-4,-4,-4,1
102217,1,-1.187,1,4,0.55,0.67,-3,-3,-3,-3,-3,-3,-3,-3,1
102218,1,0.331,1,4,1.41,1.16,-7,-7,-7,-7,-7,-7,-7,-7,1
102219,0,-0.118,4,2,-0.91,-1.2,-3,-3,-3,-3,-3,-3,-3,-3,1
102220,0,-9,-9,3,-1.17,-1.09,-3,-3,-3,-3,-3,-3,-3,-3,10
102221,0,-9,5,3,-0.14,-0.26,0,1,0,0,0,0,0,0,1
102222,1,1.596,1,4,-0.05,-0.07,-3,-3,-3,-3,-3,-3,-3,-3,1
102223,1,-1.636,1,4,1.06,1.24,-3,-3,-3,-3,-3,-3,-3,-3,1
102224,0,0.331,5,2,0.55,0.7,-4,-4,-4,-4,-4,-4,-4,-4,1
102226,0,0.331,6,2,-0.78,-0.75,-4,-4,-4,-4,-4,-4,-4,-4,1
102227,0,1.146,6,2,0.33,0.45,-3,-3,-3,-3,-3,-3,-3,-3,1
102228,1,0.796,1,4,-0.38,-0.32,-3,-3,-3,-3,-3,-3,-3,-3,1
102232,0,-1.383,5,2,0.15,0.3,-3,-3,-3,-3,-3,-3,-3,-3,1
102233,0,-0.745,4,2,-0.91,-0.83,-4,-4,-4,-4,-4,-4,-4,-4,1
