STU_ID,BYSEX,BYENGLSE,BYSES1,BYSES2,BYS24F,BYGRDRPT,BYLGRRPT,BYTXMSTD,BYPISAME,BYACTCTL,F2HSSTAT
101101,2,-0.633,-0.25,-0.23,1,0,-3,52.11,506.99,-1.341,1
101102,2,0.331,0.58,0.69,1,0,-3,57.65,560.06,0.871,1
101104,2,-0.933,-0.85,-0.68,1,0,-3,66.44,635.82,0.326,1
101105,2,1.146,-0.8,-0.89,1,98,98,44.68,442.25,1.449,1
101106,2,0.143,-1.41,-1.28,1,0,-3,40.57,403.22,0.326,1
101107,1,0.52,-1.07,-0.93,1,0,-3,35.04,359.51,-9,1
101108,1,-0.852,0.27,0.36,1,98,98,50.71,494.86,1.157,1
101109,1,0.331,-0.16,-0.24,1,0,-3,66.17,633.95,-0.232,1
101110,1,0.331,-1,-0.85,1,0,-3,39.43,392.25,0.326,1
101111,1,0.893,-1.22,-1.07,1,98,98,46.17,455.74,0.916,1
101112,1,-0.118,-0.18,-0.1,1,0,-3,58.76,571.39,-0.238,1
101113,2,-1.748,-0.03,0.16,1,0,-3,47.97,471.35,-2.424,1
101114,2,0.958,-0.8,-0.74,2,1,3,39.18,389.79,1.138,1
101115,1,-0.672,-0.16,-0.58,1,0,-3,64.63,623.04,0.587,1
101116,1,-0.364,0.99,0.88,1,98,98,69.38,655.78,-0.712,1
101117,1,0.331,0.22,0.24,1,0,-3,32.38,345.23,-9,1
101118,2,-1.383,0.06,0.08,2,1,3,29.98,334.68,0.663,1
101119,2,0.704,-1.35,-1.36,1,98,98,59.32,577.12,-0.49,10
101120,1,0.228,-0.57,-0.73,1,0,-3,43.04,427.02,-0.827,9
101121,2,0.039,1.18,1.29,1,0,-3,57.83,561.84,-0.516,1
101122,1,-0.933,-0.63,-0.49,1,0,-3,46.07,454.78,-1.049,1
101123,1,0.143,-0.69,-0.84,1,0,-3,47.74,469.43,-0.516,1
101124,1,-0.183,-0.69,-0.6,2,1,1,48.66,477.26,0.713,1
101125,2,-9,-1.22,-1.11,-7,0,-3,40.8,405.45,-9,1
101126,2,-9,-0.64,-0.67,1,1,4,66.32,635.02,-9,1
101127,2,0.412,-0.12,-0.05,1,0,-3,53.7,521.44,1.702,1
101128,1,-0.126,-1,-0.89,1,0,-3,52.42,509.82,0.326,1
101129,1,0.331,0.26,-0.15,1,98,98,71.38,668.76,-0.219,1
101131,1,0.331,0.48,0.67,1,0,-3,59.66,580.59,-0.821,1
101132,1,-0.933,-0.16,-0.24,1,0,-3,47.52,467.48,-1.049,1
101133,1,-0.933,-1.16,-1.29,1,0,-3,39.51,392.98,-9,1
101201,1,-9,-0.24,-0.4,1,0,-3,44.62,441.75,-9,1
101203,1,-9,0.05,0.17,2,0,-3,49.89,487.77,-9,1
101207,1,-9,-0.34,-0.47,1,0,-3,56.96,553.07,-9,1
101209,1,-9,-0.77,-0.69,1,0,-3,46.9,462.11,-9,1
101210,1,-9,0.37,0.57,-9,0,-3,65.38,628.39,-9,1
101211,2,-9,0.19,0.1,1,0,-3,56.31,546.49,-9,1
101212,1,-9,0.09,-0.07,2,0,-3,48.44,475.41,-9,1
101214,2,-9,-0.48,-0.52,2,0,-3,43.6,432.28,-9,1
101215,1,-9,-0.43,-0.36,1,0,-3,54.11,525.27,-9,1
101217,2,0.331,-0.64,-0.66,3,0,-3,36.78,370.34,0.073,1
101219,2,-9,0.05,0.25,2,0,-3,33.52,351.01,-9,1
101221,2,-9,-0.93,-0.84,1,0,-3,59.67,580.78,-9,1
101222,-4,-4,-4,-4,-4,0,-3,36.55,367.79,-4,1
101223,2,-9,-0.44,-0.36,-7,0,-3,47.85,470.39,-9,1
101226,1,0.331,1.13,1.31,1,0,-3,52.08,506.79,-9,1
101227,1,-9,-0.58,-0.37,-7,0,-3,44.46,440.21,-9,6
102101,1,0.585,-0.57,-0.82,1,98,98,47.55,467.8,0.618,1
102103,2,-0.176,-0.12,0.03,1,0,-3,34.77,357.91,0.326,3
102104,1,-9,0.21,0.12,-7,0,-3,51.95,505.57,-9,3
102105,1,-9,-1.04,-1.17,1,0,-3,37.78,377.15,-9,1
102106,2,0.37,-0.24,0,1,0,-3,35.8,364.12,0.579,1
102107,1,-9,-1.52,-1.37,2,1,8,35.11,359.89,-9,9
102108,1,-0.933,-0.94,-0.95,2,98,98,41.94,416.5,-0.77,3
102109,2,0.781,-0.64,-0.53,1,0,-3,32.99,348.28,-9,2
102111,2,-9,-1.45,-1.28,-7,0,-3,39.63,394.14,-9,1
102112,1,-9,0.63,0.38,1,0,-3,33.63,351.62,-9,1
102113,1,0.039,-0.34,-0.2,1,0,-3,50.54,493.32,0.034,1
102116,1,0.331,-0.82,-0.77,5,98,98,29.87,334.22,0.384,6
102117,1,1.065,-0.3,-0.19,2,0,-3,47.1,463.86,1.227,1
102118,1,0.696,-0.3,-0.45,1,0,-3,33.47,350.77,1.138,1
102120,2,-0.933,0.55,0.59,1,0,-3,33.11,348.89,-1.049,3
102121,1,1.596,-0.02,0.02,1,0,-3,31.78,342.41,1.41,1
